Mã hàng,Mã vạch,Tên hàng,ĐVT,Parent_SKU
TAM2250,8859160401279,Nekko Senior 7+ vị cá ngừ 70g (gói),Gói,
TAM2250,497655585823520,,Thùng,
TAM2251,89938534079455,Nekko Senior 7+ vị cá ngừ rắc thịt gà 70g (gói),Gói,
TAM2251,497655585823523,,Thùng,
TAM2252,8859160401293,Nekko Senior 7+ vị cá ngừ rắc cá hồi 70g (gói),Gói,
TAM2252,497655585823522,,Thùng,
TAM2253,8859160401309,Nekko Senior 7+ vị cá ngừ rắc cá bào 70g (gói),Gói,
TAM2253,497655585823521,,Thùng,
TAM2254,4901133618567,TABS cho mèo hương vị gà và cá ngừ (CIAO Tuna (Katsuo) & Chicken Fillet Topping Dried Bonito (IC204)),Gói,
TAM2255,8801047642268,Pate mèo hộp vị cá ngừ & cá hồi 160g,Lon,
TAM2256,8801047642275,Pate mèo hộp vị cá ngừ & cua 160g,Lon,
TAM2257,8801047642015,Pate mèo hộp vị cá ngừ & gà 160g,Lon,
TAM2258,8801047646211,Pate mèo hộp vị cá ngừ & nhuyễn thể 160g,Lon,
TAM2259,8801047642022,Pate mèo hộp vị cá ngừ & phô mai 160g,Lon,
TAM2260,8994571081082,SUPERCAT ADULT OCEAN FISH 85g,Gói,
TAM2261,8994571081105,SUPERCAT ADULT TUNA & CHICKEN 85g,Gói,
TAM2262,8994571081112,SUPERCAT ADULT TUNA & PRAWN 85g,Gói,
TAM2263,8994571081099,SUPERCAT ADULT TUNA 85g,Gói,
TAM2265,8994571081129,SUPERCAT KITTEN TUNA SPECIAL 85g,Gói,
TAM2266,8994571084366,SUPERCAT MOTHER & BABY 85g,Gói,
TAM2267,6976632560301,MR.VET L-LYSINE NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2268,6976632560318,MR.VET OMEGA-3 NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2270,6976632560868,MR.VET TUNA NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2271,6976632560875,MR.VET SALMON NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2272,6976632561551,MR.VET CHICKEN & EGG YOLK NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2273,6976632561506,MR.VET CHICKEN & SHRIMP NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2274,6976632561513,MR.VET SALMON & PUMPKIN NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2275,6976632561537,MR.VET TUNA& CARROT NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2276,6976632561520,MR.VET TUNA& CRAB NUTRITION CAT POUCH (70G/BAG),Gói,
TAM2277,8859387702210,Lon INABA CIAO Gà Phi Lê xé nhỏ Với Thạch Sò Điệp (C21),Lon,
TAM2278,8855648009470,Ostech Ultra Tuna topping Kanikama in Jelly - 70GR,Gói,
TAM2279,8855648009432,Ostech Ultra Tuna topping Shirasu in Jelly - 70GR,Gói,
TAM2280,8855648009487,Ostech Ultra Tuna topping Seafood in Jelly - 70GR,Gói,
TAM2281,8855648009494,Ostech Ultra Tuna topping Scallop in Jelly - 70GR,Gói,
TAM2282,8855648009425,Ostech Ultra Tuna topping Cheese in Jelly - 70GR,Gói,
TAM2283,8855648009449,Ostech Ultra Tuna topping Salmon in Jelly - 70GR,Gói,
TAM2284,8855648009463,Ostech Ultra Tuna topping Shrimp in Jelly - 70GR,Gói,
TAM2285,8855648006554,Ostech Gourmet Original Cat Food - Tuna - 400 GR,Hộp,
TAM2286,8855648006493,Ostech Gourmet Original Cat Food - Tuna Topping Chicken - 400 GR,Hộp,
TAM2287,8855648006509,Ostech Gourmet Original Cat Food - Tuna Topping Shrimp - 400 GR,Hộp,
TAM2288,8855648006516,Ostech Gourmet Original Cat Food - Tuna Topping Seafood - 400 GR,Hộp,
TAM2289,8855648006530,Ostech Gourmet Original Cat Food - Tuna Topping Shirasu - 400 GR,Hộp,
TAM2290,8855648006547,Ostech Gourmet Original Cat Food - Tuna Topping Kanikama - 400 GR,Hộp,
TAM2291,8855648006523,Ostech Gourmet Original Cat Food - Tuna Topping Pumpkin - 400 GR,Hộp,
TAM2292,4520699605134,TAMSSpoonthạch cngừ cnvằn ccsữa 60g,Gói,
TAM2293,4520699695135,TAmèoSSpoon thạch vị cngừ KCPG 60g,Gói,
TAM2294,8009470014656,TA hỗn hợp hoàn chỉnh cho mèo-Monge VetSolution Recovery Feline 100g x 24hộp/thùng,Cái,
TAM2295,8855648009456,Ostech Ultra Tuna topping Egg and Vegetable in Jelly - 70GR,Gói,
TAM2296,9555192519485,TA Meo-Vi Ca bien dang tui 6x80g,Hộp,
TAM2297,9555192519478,TA Meo-Vi Ca ngu dang tui 6x80g,Hộp,
TAM2298,9555192519461,TA Meo-Vi thu tui 6x80g,Hộp,
TAM2299,8853301100106,TA Meo con-Vi Ca ngu dang tui 6x80g,Hộp,
TAM2300,6976632562114,MR.VET TUNA &CRAB NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2301,6976632562145,MR.VET TUNA &CARROT NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2302,6976632562152,MR.VET SALMON &PUMPKIN NUTRITION CANNED CAT FOOD(400G/CAN),Can,
TAM2303,6976632562121,MR.VET CHICKEN&EGG YOLK NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2304,6976632562138,MR.VET CHICKEN &SHRIMP NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2305,6976632561728,MR.VET VITAMIN NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2306,6976632561742,MR.VET L-LYSINE NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2307,6976632561735,MR.VET OMEGA-3 NUTRITION CANNED CAT FOOD (400G/CAN),Can,
TAM2308,8994571084809,SUPERCAT ADULT TUNA 400g,Gói,
TAM2309,8994571084922,SUPERCAT ADULT TUNA WITH BEEF 400g,Gói,
TAM2310,8994571084915,SUPERCAT ADULT TUNA WITH CRAB 400g,Gói,
TAM2311,8994571084847,SUPERCAT KITTEN TUNA 400g,Gói,
TAM2312,8994571084823,SUPERCAT KITTEN TUNA WITH SALMON 400g,Gói,
TAM2313,8850477017221,Me-O Wet Food Tuna With Sardine In Jelly For Kitten - 80g ( 12 x 4 x 1 / Carton ),Gói,
TAM2314,8850477026759,Me-O Wet Food Mackerel In Jelly - 80g ( 12 x 4 x 1 / Carton ),Gói,
TAM2315,8850477019768,Me-O Wet Food Tuna With Chicken In Jelly - 80g ( 12 x 4 x 1 / Carton ),Gói,
TAM2316,6973466948473,TA dạng sữa lắc vị gà hiệu FAENBEI dùng làm TA hỗn hợp hoàn chỉnh cho mèo (85g/bag),Gói,
TAM2317,6978326610002,"TA dạng sệt vị cá hồi, bò và dầu cá hiệu FAENBEI dùng làm TA hỗn hợp hoàn chỉnh cho mèo (85g/bag)",Gói,
TAM2318,6978326610019,"TA dạng sệt vị gà, bồ câu non & sữa dê hiệu FAENBEI dùng làm TA hỗn hợp hoàn chỉnh cho mèo (85g/bag)",Gói,
TAM2319,8853301100434,Thuc An Meo-Vi Ca Ngu & Ca Hoi 70g_2026,Túi,
TAM2319,497655585823662,,Thùng,
TAM2320,8853301100441,Thuc An Meo-Vi ca Bien &Tom 70g_2026,Túi,
TAM2320,497655585823658,,Thùng,
TAM2321,8853301100427,Thuc An Meo-Vi Ca Ngu & Ca Thu 70g_2026,Túi,
TAM2321,497655585823663,,Thùng,
TAM2322,8853301550079,Thuc An Meo-Vi Ca Thu & Ca Hoi 80g_2026,Túi,
TAM2322,497655585823664,,Thùng,
MTPCHI2034,8850126001182,PATE PURINA ONE THỨC ĂN ƯỚT CHO MÈO TRƯỞNG THÀNH (URINARY CARE) 70G,Gói,
MTPPHU1001,8936225442153,Súp thưởng sữa dê PetQ  vị vitamin,Thanh,
MTPPHU1002,8936225442177,Súp thưởng sữa dê PetQ vị cỏ mèo,Thanh,
MTPPHU1003,8936225442191,Súp thưởng sữa dê PetQ vị dầu cá,Thanh,
MTPPHU1011,8859387702012-0,Súp thưởng INABA CIAO Churu Cá Ngừ Thịt Trắng với Chất Xơ (SC-101 ),Gói,
MTPPHU1012,8859387701664-0,Súp thưởng INABA CIAO Churu Cá Ngừ với Collagen và Chất Xơ Hũ 50 thanh (TSC-14T),Hũ,
